lat,lon,timestamp_value,time_value
47.05398,8.321121,736765073,08:57:53
47.05402,8.320734,736765084,08:58:04
47.05402,8.320305,736765094,08:58:14
47.054,8.319937,736765115,08:58:35
47.05389,8.319171,736765125,08:58:45
47.05385,8.318798,736765135,08:58:55
47.05381,8.318423,736765145,08:59:05
47.05377,8.318044,736765155,08:59:15
47.05374,8.317623,736765167,08:59:27
47.05373,8.317245,736765177,08:59:37
47.05375,8.31682,736765187,08:59:47
47.05375,8.316446,736765197,08:59:57
47.05373,8.316079,736765207,09:00:07
47.05369,8.31571,736765217,09:00:17
47.05369,8.315335,736765238,09:00:38
47.05371,8.314531,736765248,09:00:48
47.05369,8.31415,736765258,09:00:58
47.05369,8.313729,736765269,09:01:09
47.05372,8.313335,736765279,09:01:19
47.05373,8.312948,736765300,09:01:40
47.05366,8.312136,736765310,09:01:50
47.05365,8.311746,736765320,09:02:00
47.05362,8.311365,736765330,09:02:10
47.05351,8.310958,736765341,09:02:21
47.05341,8.31062,736765361,09:02:41
47.05314,8.309897,736765372,09:02:52
47.05292,8.309699,736765382,09:03:02
47.05267,8.309655,736765392,09:03:12
47.05245,8.30979,736765402,09:03:22
47.05231,8.310073,736765414,09:03:34
47.05231,8.310433,736765423,09:03:43
47.05243,8.310711,736765434,09:03:54
47.05259,8.31097,736765444,09:04:04
47.05275,8.311228,736765454,09:04:14
47.05283,8.31151,736765464,09:04:24
47.05284,8.311826,736765485,09:04:45
47.05266,8.31246,736765495,09:04:55
47.05251,8.312704,736765505,09:05:05
47.05238,8.312992,736765515,09:05:15
47.0523,8.31332,736765525,09:05:25
47.05223,8.31364,736765537,09:05:37
47.0521,8.313965,736765546,09:05:46
47.05194,8.314283,736765557,09:05:57
47.05177,8.314543,736765567,09:06:07
47.05162,8.314801,736765577,09:06:17
47.05146,8.315059,736765587,09:06:27
47.0513,8.315359,736765599,09:06:39
47.05121,8.315639,736765608,09:06:48
47.05118,8.315823,736765619,09:06:59
47.05116,8.315924,736765629,09:07:09
47.05116,8.315939,736765639,09:07:19
47.05117,8.315952,736765649,09:07:29
47.05116,8.315967,736765670,09:07:50
47.05111,8.316342,736765680,09:08:00
47.051,8.31667,736765690,09:08:10
47.0509,8.31702,736765700,09:08:20
47.05084,8.317419,736765711,09:08:31
47.05074,8.31776,736765722,09:08:42
47.05059,8.318054,736765731,09:08:51
47.05041,8.318354,736765742,09:09:02
47.05024,8.318628,736765752,09:09:12
47.05009,8.318913,736765762,09:09:22
47.04995,8.319178,736765772,09:09:32
47.04978,8.319474,736765785,09:09:45
47.04965,8.319765,736765793,09:09:53
47.04955,8.320128,736765804,09:10:04
47.04944,8.320411,736765814,09:10:14
47.04929,8.320683,736765824,09:10:24
47.04916,8.32096,736765834,09:10:34
47.04903,8.321298,736765846,09:10:46
47.04889,8.321582,736765855,09:10:55
47.04872,8.321809,736765865,09:11:05
47.04851,8.322032,736765876,09:11:16
47.04832,8.322257,736765886,09:11:26
47.04819,8.322533,736765896,09:11:36
47.04801,8.32278,736765908,09:11:48
47.0478,8.323011,736765917,09:11:57
47.04763,8.323254,736765927,09:12:07
47.04747,8.323524,736765937,09:12:17
47.04728,8.323781,736765948,09:12:28
47.04712,8.324027,736765958,09:12:38
47.04697,8.324258,736765970,09:12:50
47.04673,8.324408,736765979,09:12:59
47.0465,8.324432,736765989,09:13:09
47.04627,8.324465,736765999,09:13:19
47.04605,8.324402,736766009,09:13:29
47.04584,8.324214,736766020,09:13:40
47.04569,8.323952,736766032,09:13:52
47.04552,8.323659,736766041,09:14:01
47.04537,8.323451,736766051,09:14:11
47.04522,8.323254,736766061,09:14:21
47.04507,8.32304,736766071,09:14:31
47.04497,8.322779,736766082,09:14:42
47.04492,8.322455,736766102,09:15:02
47.04496,8.321908,736766113,09:15:13
47.04498,8.321733,736766123,09:15:23
47.04499,8.321614,736766133,09:15:33
47.04499,8.321578,736766143,09:15:43
47.04499,8.321578,736766155,09:15:55
47.04499,8.321573,736766165,09:16:05
47.045,8.321571,736766175,09:16:15
47.04499,8.32157,736766185,09:16:25
47.045,8.321565,736766195,09:16:35
47.045,8.321562,736766206,09:16:46
47.045,8.321563,736766217,09:16:57
47.04498,8.321523,736766227,09:17:07
47.04497,8.321345,736766237,09:17:17
47.04496,8.32115,736766247,09:17:27
47.04496,8.320958,736766258,09:17:38
47.04492,8.320961,736766268,09:17:48
