lat,lon,time_value,date_value
46.99705,8.31593,09:22:05,2023-05-28
46.99687,8.316186,09:22:16,2023-05-28
46.99671,8.316399,09:22:26,2023-05-28
46.99651,8.316577,09:22:36,2023-05-28
46.99633,8.3167,09:22:46,2023-05-28
46.99611,8.316846,09:22:58,2023-05-28
46.99592,8.317026,09:23:07,2023-05-28
46.99575,8.317243,09:23:17,2023-05-28
46.99562,8.317531,09:23:28,2023-05-28
46.99553,8.317801,09:23:38,2023-05-28
46.99548,8.318122,09:23:48,2023-05-28
46.99548,8.318429,09:24:00,2023-05-28
46.99544,8.318777,09:24:09,2023-05-28
46.9954,8.319101,09:24:19,2023-05-28
46.99536,8.319379,09:24:29,2023-05-28
46.99535,8.319686,09:24:39,2023-05-28
46.99537,8.320006,09:24:50,2023-05-28
46.9954,8.320325,09:25:01,2023-05-28
46.99544,8.320645,09:25:10,2023-05-28
46.99546,8.320964,09:25:20,2023-05-28
46.9955,8.321304,09:25:31,2023-05-28
46.99551,8.321633,09:25:41,2023-05-28
46.99552,8.321956,09:25:51,2023-05-28
46.99554,8.322282,09:26:03,2023-05-28
46.99561,8.322615,09:26:12,2023-05-28
46.99558,8.322951,09:26:23,2023-05-28
46.99551,8.323276,09:26:33,2023-05-28
46.99537,8.323572,09:26:43,2023-05-28
46.99523,8.323837,09:26:53,2023-05-28
46.99512,8.324107,09:27:05,2023-05-28
46.99508,8.324429,09:27:14,2023-05-28
46.9951,8.324753,09:27:24,2023-05-28
46.99518,8.325058,09:27:34,2023-05-28
46.99528,8.325356,09:27:44,2023-05-28
46.99534,8.325642,09:27:55,2023-05-28
46.99536,8.325948,09:28:06,2023-05-28
46.99537,8.326279,09:28:15,2023-05-28
46.99537,8.326605,09:28:25,2023-05-28
46.99539,8.326934,09:28:36,2023-05-28
46.99543,8.327221,09:28:46,2023-05-28
46.9955,8.327514,09:28:56,2023-05-28
46.99558,8.327788,09:29:08,2023-05-28
46.99567,8.328079,09:29:17,2023-05-28
46.99574,8.328337,09:29:27,2023-05-28
46.9958,8.328648,09:29:37,2023-05-28
46.99586,8.328963,09:29:47,2023-05-28
46.99597,8.329304,09:29:58,2023-05-28
46.99604,8.329606,09:30:09,2023-05-28
46.99608,8.329946,09:30:18,2023-05-28
46.99613,8.330273,09:30:28,2023-05-28
46.99622,8.330598,09:30:39,2023-05-28
46.9963,8.330887,09:30:49,2023-05-28
46.99637,8.331216,09:30:59,2023-05-28
46.99644,8.331528,09:31:11,2023-05-28
46.99652,8.331863,09:31:20,2023-05-28
46.99659,8.33218,09:31:30,2023-05-28
46.99668,8.332484,09:31:40,2023-05-28
46.99679,8.332792,09:31:50,2023-05-28
46.99691,8.33313,09:32:01,2023-05-28
46.997,8.333443,09:32:13,2023-05-28
46.99709,8.333768,09:32:22,2023-05-28
46.99721,8.334044,09:32:32,2023-05-28
46.99732,8.334336,09:32:42,2023-05-28
46.99742,8.334654,09:32:52,2023-05-28
46.99751,8.33499,09:33:03,2023-05-28
46.99766,8.33527,09:33:15,2023-05-28
46.99785,8.335526,09:33:24,2023-05-28
46.99802,8.335781,09:33:34,2023-05-28
46.99819,8.336023,09:33:44,2023-05-28
46.99834,8.336286,09:33:54,2023-05-28
46.99847,8.336575,09:34:04,2023-05-28
46.99861,8.336877,09:34:16,2023-05-28
46.99875,8.337129,09:34:25,2023-05-28
46.99894,8.337344,09:34:35,2023-05-28
46.99913,8.337553,09:34:45,2023-05-28
46.99932,8.337807,09:34:56,2023-05-28
46.99948,8.338044,09:35:06,2023-05-28
46.99965,8.338274,09:35:27,2023-05-28
46.99998,8.338762,09:35:37,2023-05-28
47.00013,8.339007,09:35:47,2023-05-28
47.0003,8.339252,09:35:57,2023-05-28
47.00047,8.339526,09:36:08,2023-05-28
47.00062,8.339784,09:36:20,2023-05-28
47.00079,8.340059,09:36:29,2023-05-28
47.00096,8.3403,09:36:39,2023-05-28
47.00111,8.340543,09:36:49,2023-05-28
47.00129,8.340771,09:37:00,2023-05-28
47.00146,8.340985,09:37:10,2023-05-28
47.00162,8.341215,09:37:31,2023-05-28
47.00195,8.341682,09:37:41,2023-05-28
47.0021,8.341871,09:37:51,2023-05-28
47.00231,8.34203,09:38:02,2023-05-28
47.00249,8.342165,09:38:12,2023-05-28
47.00267,8.342291,09:38:32,2023-05-28
47.00307,8.34256,09:38:43,2023-05-28
47.00327,8.342671,09:38:53,2023-05-28
47.00345,8.342801,09:39:03,2023-05-28
47.00363,8.34296,09:39:13,2023-05-28
47.00381,8.343082,09:39:34,2023-05-28
47.00426,8.343201,09:39:44,2023-05-28
47.00447,8.343261,09:39:54,2023-05-28
47.00473,8.343353,09:40:05,2023-05-28
47.00492,8.343432,09:40:15,2023-05-28
47.00513,8.343481,09:40:27,2023-05-28
47.00538,8.343471,09:40:36,2023-05-28
47.00559,8.34347,09:40:46,2023-05-28
47.00579,8.34349,09:40:56,2023-05-28
47.00592,8.343521,09:41:06,2023-05-28
47.00601,8.343524,09:41:16,2023-05-28
47.00607,8.343514,09:41:28,2023-05-28
47.00609,8.343505,09:41:37,2023-05-28
47.00611,8.3435,09:41:48,2023-05-28
47.00612,8.343493,09:41:58,2023-05-28
47.00612,8.343489,09:42:08,2023-05-28
47.00612,8.343487,09:42:18,2023-05-28
47.00613,8.343485,09:42:30,2023-05-28
47.00613,8.343484,09:42:39,2023-05-28
47.00613,8.343482,09:42:50,2023-05-28
47.00613,8.343481,09:43:00,2023-05-28
47.00613,8.34348,09:43:10,2023-05-28
47.00613,8.343481,09:43:20,2023-05-28
47.00614,8.34348,09:43:32,2023-05-28
47.00614,8.34348,09:43:41,2023-05-28
47.00614,8.343479,09:43:51,2023-05-28
47.00614,8.343477,09:44:02,2023-05-28
47.00614,8.343474,09:44:12,2023-05-28
47.00614,8.343471,09:44:22,2023-05-28
47.00614,8.34347,09:44:34,2023-05-28
47.00614,8.343468,09:44:43,2023-05-28
47.00614,8.343465,09:44:53,2023-05-28
47.00614,8.343463,09:45:03,2023-05-28
47.00614,8.34346,09:45:14,2023-05-28
47.00614,8.343458,09:45:24,2023-05-28
47.00615,8.343456,09:45:36,2023-05-28
47.00615,8.343454,09:45:45,2023-05-28
47.00615,8.343452,09:45:55,2023-05-28
